Column1,Column2,Column3,Column4
0,1,0,0
0.10101,1.00738,-1.45164E-09,0
0.20202,1.02756,-2.30583E-09,0
0.30303,1.05572,-3.82787E-09,0
0.40404,1.08703,-3.65077E-09,0
0.505051,1.11833,-2.032E-09,0
0.606061,1.14802,5.64789E-10,0
0.707071,1.17556,3.13367E-09,0
0.808081,1.20086,6.19458E-09,0
0.909091,1.22407,8.54007E-09,0
1.0101,1.24538,1.23548E-08,0
1.11111,1.26497,1.56832E-08,0
1.21212,1.28301,1.99318E-08,0
1.31313,1.29963,2.57216E-08,0
1.41414,1.31496,3.22677E-08,0
1.51515,1.32909,4.2082E-08,0
1.61616,1.34213,5.35732E-08,0
1.71717,1.35416,6.63253E-08,0
1.81818,1.36526,8.31781E-08,0
1.91919,1.37549,1.0319E-07,0
2.0202,1.38493,1.25731E-07,0
2.12121,1.39364,1.53502E-07,0
2.22222,1.40167,1.84884E-07,0
2.32323,1.40908,2.21313E-07,0
2.42424,1.41591,2.64623E-07,0
2.52525,1.42222,3.15904E-07,0
2.62626,1.42805,3.74931E-07,0
2.72727,1.43342,4.42672E-07,0
2.82828,1.43838,5.21952E-07,0
2.92929,1.44297,6.13104E-07,0
3.0303,1.4472,7.16693E-07,0
3.13131,1.45111,8.36684E-07,0
3.23232,1.45473,9.73796E-07,0
3.33333,1.45807,1.13188E-06,0
3.43434,1.46115,1.31452E-06,0
3.53535,1.464,1.52568E-06,0
3.63636,1.46664,1.77165E-06,0
3.73737,1.46907,2.05714E-06,0
3.83838,1.47131,2.38949E-06,0
3.93939,1.47337,2.77634E-06,0
4.0404,1.47527,3.22259E-06,0
4.14141,1.47701,3.73264E-06,0
4.24242,1.47861,4.30353E-06,0
4.34343,1.48006,4.92746E-06,0
4.44444,1.48137,5.58989E-06,0
4.54545,1.48254,6.26573E-06,0
4.64646,1.48359,6.92062E-06,0
4.74747,1.48452,7.51339E-06,0
4.84848,1.48532,7.99731E-06,0
4.94949,1.48601,8.32633E-06,0
5.05051,1.48659,8.46132E-06,0
5.15152,1.48707,8.37318E-06,0
5.25253,1.48746,8.04695E-06,0
5.35354,1.48776,7.4881E-06,0
5.45455,1.488,6.72328E-06,0
5.55556,1.48817,5.79439E-06,0
5.65657,1.48829,4.76091E-06,0
5.75758,1.48837,3.68888E-06,0
5.85859,1.48842,2.64308E-06,0
5.9596,1.48845,1.68256E-06,0
6.06061,1.48847,8.5345E-07,0
6.16162,1.48847,1.86895E-07,0
6.26263,1.48847,-2.96782E-07,0
6.36364,1.48847,-5.97355E-07,0
6.46465,1.48846,-7.23406E-07,0
6.56566,1.48846,-7.01075E-07,0
6.66667,1.48846,-5.65877E-07,0
6.76768,1.48846,-3.64592E-07,0
6.86869,1.48846,-1.47398E-07,0
6.9697,1.48846,3.99073E-08,0
7.07071,1.48846,1.69524E-07,0
7.17172,1.48846,2.29953E-07,0
7.27273,1.48846,2.29039E-07,0
7.37374,1.48846,1.86128E-07,0
7.47475,1.48846,1.24878E-07,0
7.57576,1.48846,6.37665E-08,0
7.67677,1.48846,1.5786E-08,0
7.77778,1.48846,-1.41652E-08,0
7.87879,1.48846,-2.74982E-08,0
7.9798,1.48846,-2.96347E-08,0
8.08081,1.48846,-2.68143E-08,0
8.18182,1.48846,-2.23316E-08,0
8.28283,1.48846,-1.76202E-08,0
8.38384,1.48846,-1.5127E-08,0
8.48485,1.48846,-1.36056E-08,0
8.58586,1.48846,-1.2978E-08,0
8.68687,1.48846,-1.30752E-08,0
8.78788,1.48846,-1.40752E-08,0
8.88889,1.48846,-1.49008E-08,0
8.9899,1.48846,-1.46167E-08,0
9.09091,1.48846,-1.50507E-08,0
9.19192,1.48846,-1.62977E-08,0
9.29293,1.48846,-1.73317E-08,0
9.39394,1.48846,-1.8869E-08,0
9.49495,1.48846,-1.99491E-08,0
9.59596,1.48846,-2.2176E-08,0
9.69697,1.48846,-2.45487E-08,0
9.79798,1.48846,-2.70348E-08,0
9.89899,1.48846,-2.92142E-08,0
10,1.48846,-3.21916E-08,0
