Column1,Column2,Column3,Column4
-0.494949,0.0303989,4.83373E-11,0
-0.474747,0.149484,-7.8699E-11,0
-0.454545,0.263543,-1.01402E-10,0
-0.434343,0.372527,-1.57819E-10,0
-0.414141,0.476394,-7.65684E-10,0
-0.393939,0.575109,-9.68353E-10,0
-0.373737,0.668647,-1.62705E-09,0
-0.353535,0.756992,-2.24928E-09,0
-0.333333,0.840136,-2.89932E-09,0
-0.313131,0.918083,-3.80039E-09,0
-0.292929,0.990847,-4.88343E-09,0
-0.272727,1.05845,-5.30228E-09,0
-0.252525,1.12092,-7.08775E-09,0
-0.232323,1.17831,-7.57051E-09,0
-0.212121,1.23065,-8.90777E-09,0
-0.191919,1.278,-9.74539E-09,0
-0.171717,1.3204,-1.09603E-08,0
-0.151515,1.35792,-1.1802E-08,0
-0.131313,1.39061,-1.26708E-08,0
-0.111111,1.41853,-1.33697E-08,0
-0.0909091,1.44171,-1.404E-08,0
-0.0707071,1.4602,-1.40319E-08,0
-0.0505051,1.47404,-1.45949E-08,0
-0.030303,1.48326,-1.46478E-08,0
-0.010101,1.48787,-1.4694E-08,0
0.010101,1.48788,-1.49327E-08,0
0.030303,1.48328,-1.48044E-08,0
0.0505051,1.47408,-1.45201E-08,0
0.0707071,1.46025,-1.46708E-08,0
0.0909091,1.44177,-1.44527E-08,0
0.111111,1.4186,-1.40879E-08,0
0.131313,1.3907,-1.38715E-08,0
0.151515,1.35802,-1.35899E-08,0
0.171717,1.3205,-1.31814E-08,0
0.191919,1.27809,-1.27258E-08,0
0.212121,1.23074,-1.21425E-08,0
0.232323,1.1784,-1.13632E-08,0
0.252525,1.12101,-1.03933E-08,0
0.272727,1.05853,-9.35704E-09,0
0.292929,0.990918,-8.08619E-09,0
0.313131,0.918145,-6.73648E-09,0
0.333333,0.84019,-5.58186E-09,0
0.353535,0.757037,-4.49022E-09,0
0.373737,0.668684,-3.32326E-09,0
0.393939,0.575138,-2.42256E-09,0
0.414141,0.476416,-1.62032E-09,0
0.434343,0.372543,-1.03306E-09,0
0.454545,0.263554,-4.75795E-10,0
0.474747,0.14949,-1.70587E-10,0
0.494949,0.0304,-4.81715E-11,0
